Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=53, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=10.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 491, total numsteps: 10249, return: 14.53
Episode: 492, total numsteps: 10270, return: 5.21
Episode: 493, total numsteps: 10291, return: 5.65
Episode: 494, total numsteps: 10353, return: 32.89
Episode: 495, total numsteps: 10387, return: 3.02
Episode: 496, total numsteps: 10463, return: 43.84
Episode: 497, total numsteps: 10523, return: 38.13
Episode: 498, total numsteps: 10602, return: -28.29
Episode: 499, total numsteps: 10640, return: 7.22
Episode: 500, total numsteps: 10725, return: -28.77
Episode: 501, total numsteps: 10875, return: 68.0
Episode: 502, total numsteps: 10949, return: -22.44
Episode: 503, total numsteps: 11067, return: -13.92
