Namespace(agent='RPC', env_name='Walker2d-v5', device='cuda', seed=24, num_train_steps=500000, learning_starts=10000, gamma=0.99, tau=0.005, env_buffer_size=1000000, target_update_interval=1, log_interval=500, save_snapshot_interval=50000, eval_episode_interval=10000, num_eval_episodes=5, latent_dims=16, model_hidden_dims=256, model_num_layers=2, kl_constraint=1.0, lambda_init=1e-05, alpha_autotune=True, alpha_init=0.2, noise_factor=3, batch_size=256, seq_len=4, lr=0.0003, record_eval=True, video_dir='videos', video_fps=30)
Episode: 472, total numsteps: 10277, return: 3.01
Episode: 473, total numsteps: 10297, return: -5.11
Episode: 474, total numsteps: 10322, return: -4.58
Episode: 475, total numsteps: 10407, return: 0.38
Episode: 476, total numsteps: 10512, return: 19.99
Episode: 477, total numsteps: 10556, return: 12.64
Episode: 478, total numsteps: 10588, return: -7.71
Episode: 479, total numsteps: 10699, return: 2.91
Episode: 480, total numsteps: 10804, return: -16.61
Episode: 481, total numsteps: 10884, return: 7.29
Episode: 482, total numsteps: 11000, return: -50.94
Episode: 483, total numsteps: 11087, return: 3.69
Episode: 484, total numsteps: 11207, return: 2.99
Episode: 485, total numsteps: 11294, return: -30.75
Episode: 486, total numsteps: 11411, return: -31.1
Episode: 487, total numsteps: 11511, return: -21.5
Episode: 488, total numsteps: 11618, return: -26.95
Episode: 489, total numsteps: 11832, return: 313.52
Episode: 490, total numsteps: 12061, return: 322.03
Episode: 491, total numsteps: 12560, return: 561.64
Episode: 492, total numsteps: 12698, return: 255.18
Episode: 493, total numsteps: 12960, return: 393.37
Episode: 494, total numsteps: 13192, return: 128.2
Episode: 495, total numsteps: 14192, return: 852.39
Episode: 496, total numsteps: 15192, return: 846.27
Episode: 497, total numsteps: 15588, return: 279.34
Episode: 498, total numsteps: 15992, return: 249.66
Episode: 499, total numsteps: 16121, return: 32.3
Episode: 500, total numsteps: 16440, return: 460.31
Episode: 501, total numsteps: 16571, return: 0.2
Episode: 502, total numsteps: 16927, return: 311.57
Episode: 503, total numsteps: 17339, return: 495.25
